accession	package	ncbiBioProjectAccession	biosampleGoldId	studyGoldId	env_broad_scale	env_broad_scale_mixs	env_broad_scale_mixs_via_obsolescence	is_biome	env_local_scale	env_local_scale_mixs	env_local_scale_mixs_via_obsolescence	is_selected_abp	env_medium	env_medium_mixs	env_medium_mixs_via_obsolescence	is_env_mat
SAMEA7723629	Generic.1.0	PRJEB42019	Gb0315910	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723630	Generic.1.0	PRJEB42019	Gb0315911	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723631	Generic.1.0	PRJEB42019	Gb0315912	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723632	Generic.1.0	PRJEB42019	Gb0315913	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723633	Generic.1.0	PRJEB42019	Gb0315914	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723634	Generic.1.0	PRJEB42019	Gb0315915	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723635	Generic.1.0	PRJEB42019	Gb0315916	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723636	Generic.1.0	PRJEB42019	Gb0315917	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723637	Generic.1.0	PRJEB42019	Gb0315918	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723638	Generic.1.0	PRJEB42019	Gb0315919	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723639	Generic.1.0	PRJEB42019	Gb0315920	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723640	Generic.1.0	PRJEB42019	Gb0315921	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723641	Generic.1.0	PRJEB42019	Gb0315922	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723642	Generic.1.0	PRJEB42019	Gb0315923	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723643	Generic.1.0	PRJEB42019	Gb0315924	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723644	Generic.1.0	PRJEB42019	Gb0315925	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723645	Generic.1.0	PRJEB42019	Gb0315926	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723646	Generic.1.0	PRJEB42019	Gb0315927	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723647	Generic.1.0	PRJEB42019	Gb0315928	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723648	Generic.1.0	PRJEB42019	Gb0315929	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723649	Generic.1.0	PRJEB42019	Gb0315930	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723650	Generic.1.0	PRJEB42019	Gb0315931	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723651	Generic.1.0	PRJEB42019	Gb0315932	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723652	Generic.1.0	PRJEB42019	Gb0315933	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723653	Generic.1.0	PRJEB42019	Gb0315934	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723654	Generic.1.0	PRJEB42019	Gb0315935	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723655	Generic.1.0	PRJEB42019	Gb0315936	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723656	Generic.1.0	PRJEB42019	Gb0315937	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723657	Generic.1.0	PRJEB42019	Gb0315938	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723658	Generic.1.0	PRJEB42019	Gb0315939	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723659	Generic.1.0	PRJEB42019	Gb0315940	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723660	Generic.1.0	PRJEB42019	Gb0315941	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723661	Generic.1.0	PRJEB42019	Gb0315942	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723662	Generic.1.0	PRJEB42019	Gb0315943	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723663	Generic.1.0	PRJEB42019	Gb0315944	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723664	Generic.1.0	PRJEB42019	Gb0315945	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723665	Generic.1.0	PRJEB42019	Gb0315946	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723666	Generic.1.0	PRJEB42019	Gb0315947	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723667	Generic.1.0	PRJEB42019	Gb0315948	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723668	Generic.1.0	PRJEB42019	Gb0315949	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723669	Generic.1.0	PRJEB42019	Gb0315950	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723670	Generic.1.0	PRJEB42019	Gb0315951	Gs0154244	temperate mixed forest biome	temperate mixed forest biome [ENVO:01000212]	False	True	host-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723671	Generic.1.0	PRJEB42019	Gb0297370	Gs0154244	neritic epipelagic zone biome	neritic epipelagic zone biome [ENVO:01000042]	False	True	ocean	ocean [ENVO:00000015]	False	True	sea water	sea water [ENVO:00002149]	False	True
SAMEA7723672	Generic.1.0	PRJEB42019	Gb0297371	Gs0154244	neritic epipelagic zone biome	neritic epipelagic zone biome [ENVO:01000042]	False	True	ocean	ocean [ENVO:00000015]	False	True	sea water	sea water [ENVO:00002149]	False	True
SAMEA7723673	Generic.1.0	PRJEB42019	Gb0297372	Gs0154244	neritic epipelagic zone biome	neritic epipelagic zone biome [ENVO:01000042]	False	True	ocean	ocean [ENVO:00000015]	False	True	sea water	sea water [ENVO:00002149]	False	True
SAMEA7723674	Generic.1.0	PRJEB42019	Gb0297373	Gs0154244	neritic epipelagic zone biome	neritic epipelagic zone biome [ENVO:01000042]	False	True	ocean	ocean [ENVO:00000015]	False	True	sea water	sea water [ENVO:00002149]	False	True
SAMEA7723675	Generic.1.0	PRJEB42019	Gb0297374	Gs0154244	neritic epipelagic zone biome	neritic epipelagic zone biome [ENVO:01000042]	False	True	ocean	ocean [ENVO:00000015]	False	True	sea water	sea water [ENVO:00002149]	False	True
SAMEA7723676	Generic.1.0	PRJEB42019	Gb0315675	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723677	Generic.1.0	PRJEB42019	Gb0315676	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723678	Generic.1.0	PRJEB42019	Gb0315682	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723679	Generic.1.0	PRJEB42019	Gb0315683	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723680	Generic.1.0	PRJEB42019	Gb0315686	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723681	Generic.1.0	PRJEB42019	Gb0315445	Gs0154244	tropical broadleaf forest biome	tropical broadleaf forest biome [ENVO:01000200]	False	True	insecta-associated habitat		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723682	Generic.1.0	PRJEB42019	Gb0297375	Gs0154244	marine benthic biome	marine benthic biome [ENVO:01000024]	False	True	marine benthic feature		False	False	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723683	Generic.1.0	PRJEB42019	Gb0315952	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723684	Generic.1.0	PRJEB42019	Gb0315953	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723685	Generic.1.0	PRJEB42019	Gb0315954	Gs0154244	urban biome	urban biome [ENVO:01000249]	False	True	animal-associated habitat		False	False	feces	feces [UBERON:0001988]	False	False
SAMEA7723686	Generic.1.0	PRJEB42019	Gb0297376	Gs0154244	marine pelagic biome	marine pelagic biome [ENVO:01000023]	False	True	ocean water	sea water [ENVO:00002149]	True	False	ocean water	sea water [ENVO:00002149]	True	True
SAMEA7723687	Generic.1.0	PRJEB42019	Gb0297377	Gs0154244	marine pelagic biome	marine pelagic biome [ENVO:01000023]	False	True	ocean water	sea water [ENVO:00002149]	True	False	ocean water	sea water [ENVO:00002149]	True	True
SAMEA7723688	Generic.1.0	PRJEB42019	Gb0297378	Gs0154244	marine sediment	marine sediment [ENVO:03000033]	False	False	coastal water body	coastal water body [ENVO:02000049]	False	True	sediment	sediment [ENVO:00002007]	False	True
SAMEA7723689	Generic.1.0	PRJEB42019	Gb0315801	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723690	Generic.1.0	PRJEB42019	Gb0315802	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723691	Generic.1.0	PRJEB42019	Gb0315803	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723692	Generic.1.0	PRJEB42019	Gb0315804	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723693	Generic.1.0	PRJEB42019	Gb0315805	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723694	Generic.1.0	PRJEB42019	Gb0315806	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723695	Generic.1.0	PRJEB42019	Gb0315807	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723696	Generic.1.0	PRJEB42019	Gb0315808	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723697	Generic.1.0	PRJEB42019	Gb0315809	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723698	Generic.1.0	PRJEB42019	Gb0315810	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723699	Generic.1.0	PRJEB42019	Gb0315811	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723700	Generic.1.0	PRJEB42019	Gb0315812	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723701	Generic.1.0	PRJEB42019	Gb0315813	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723702	Generic.1.0	PRJEB42019	Gb0315814	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723703	Generic.1.0	PRJEB42019	Gb0315815	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723704	Generic.1.0	PRJEB42019	Gb0315816	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723705	Generic.1.0	PRJEB42019	Gb0315817	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723706	Generic.1.0	PRJEB42019	Gb0315818	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723707	Generic.1.0	PRJEB42019	Gb0315819	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723708	Generic.1.0	PRJEB42019	Gb0315820	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723709	Generic.1.0	PRJEB42019	Gb0315821	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723710	Generic.1.0	PRJEB42019	Gb0315822	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723711	Generic.1.0	PRJEB42019	Gb0315823	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723712	Generic.1.0	PRJEB42019	Gb0315824	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723713	Generic.1.0	PRJEB42019	Gb0315825	Gs0154244	marine subtidal rocky reef biome	marine subtidal rocky reef biome [ENVO:01000050]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723714	Generic.1.0	PRJEB42019	Gb0315826	Gs0154244	marine subtidal rocky reef biome	marine subtidal rocky reef biome [ENVO:01000050]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723715	Generic.1.0	PRJEB42019	Gb0315827	Gs0154244	marine subtidal rocky reef biome	marine subtidal rocky reef biome [ENVO:01000050]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723716	Generic.1.0	PRJEB42019	Gb0315828	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723717	Generic.1.0	PRJEB42019	Gb0315829	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723718	Generic.1.0	PRJEB42019	Gb0315830	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723719	Generic.1.0	PRJEB42019	Gb0315831	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723720	Generic.1.0	PRJEB42019	Gb0315832	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723721	Generic.1.0	PRJEB42019	Gb0315833	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723722	Generic.1.0	PRJEB42019	Gb0315834	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723723	Generic.1.0	PRJEB42019	Gb0315835	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723724	Generic.1.0	PRJEB42019	Gb0315836	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723725	Generic.1.0	PRJEB42019	Gb0315837	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723726	Generic.1.0	PRJEB42019	Gb0315838	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723727	Generic.1.0	PRJEB42019	Gb0315839	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723728	Generic.1.0	PRJEB42019	Gb0315840	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723729	Generic.1.0	PRJEB42019	Gb0315841	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723730	Generic.1.0	PRJEB42019	Gb0315842	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723731	Generic.1.0	PRJEB42019	Gb0315843	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723732	Generic.1.0	PRJEB42019	Gb0315844	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723733	Generic.1.0	PRJEB42019	Gb0315845	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723734	Generic.1.0	PRJEB42019	Gb0315846	Gs0154244	marine coral reef biome	marine coral reef biome [ENVO:01000049]	False	True	marine benthic feature		False	False	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723735	Generic.1.0	PRJEB42019	Gb0315454	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	mine	mine [ENVO:00000076]	False	True	rock	rock [ENVO:00001995]	False	True
SAMEA7723736	Generic.1.0	PRJEB42019	Gb0315455	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	mine	mine [ENVO:00000076]	False	True	rock	rock [ENVO:00001995]	False	True
SAMEA7723737	Generic.1.0	PRJEB42019	Gb0315456	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	mine	mine [ENVO:00000076]	False	True	rock	rock [ENVO:00001995]	False	True
SAMEA7723738	Generic.1.0	PRJEB42019	Gb0315457	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	mine	mine [ENVO:00000076]	False	True	rock	rock [ENVO:00001995]	False	True
SAMEA7723739	Generic.1.0	PRJEB42019	Gb0315458	Gs0154244	dense settlement biome	dense settlement biome [ENVO:01000248]	False	True	mine	mine [ENVO:00000076]	False	True	rock	rock [ENVO:00001995]	False	True
SAMEA7723740	Generic.1.0	PRJEB42019	Gb0315693	Gs0154244	subpolar coniferous forest biome	subpolar coniferous forest biome [ENVO:01000250]	False	True	bog		False	False	soil	soil [ENVO:00001998]	False	True
SAMEA7723741	Generic.1.0	PRJEB42019	Gb0315694	Gs0154244	subpolar coniferous forest biome	subpolar coniferous forest biome [ENVO:01000250]	False	True	cliff	cliff [ENVO:00000087]	False	True	rock	rock [ENVO:00001995]	False	True
SAMEA7723742	Generic.1.0	PRJEB42019	Gb0297379	Gs0154244	marine reef biome	marine reef biome [ENVO:01000029]	False	True	coral reef	coral reef [ENVO:00000150]	False	True	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723743	Generic.1.0	PRJEB42019	Gb0297380	Gs0154244	marine reef biome	marine reef biome [ENVO:01000029]	False	True	coral reef	coral reef [ENVO:00000150]	False	True	organic material	organic material [ENVO:01000155]	False	True
SAMEA7723792	Generic.1.0	PRJEB42019	Gb0315712	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723793	Generic.1.0	PRJEB42019	Gb0315713	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723794	Generic.1.0	PRJEB42019	Gb0315714	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723795	Generic.1.0	PRJEB42019	Gb0315715	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723796	Generic.1.0	PRJEB42019	Gb0315716	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723797	Generic.1.0	PRJEB42019	Gb0315717	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723798	Generic.1.0	PRJEB42019	Gb0315718	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723799	Generic.1.0	PRJEB42019	Gb0315719	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723800	Generic.1.0	PRJEB42019	Gb0315720	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723801	Generic.1.0	PRJEB42019	Gb0315721	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723802	Generic.1.0	PRJEB42019	Gb0315722	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723803	Generic.1.0	PRJEB42019	Gb0315723	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723804	Generic.1.0	PRJEB42019	Gb0315724	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
SAMEA7723805	Generic.1.0	PRJEB42019	Gb0315725	Gs0154244	desert biome	desert biome [ENVO:01000179]	False	True	oil reservior		False	False	petroleum	petroleum [ENVO:00002984]	False	True
